"Ranking","Name","Result_m","Announced","Points","Penalties","Date","Place","Country"
45,"Herbert NITSCH ",114,114,114,0,2009-04-03,"Vertical Blue 2009","Austria"
46,"Herbert NITSCH ",114,114,114,0,2009-12-03,"5th AIDA Individual World Championship 2009","Austria"
47,"Guillaume NÉRY ",114,114,114,0,2010-06-14,"3rd Mediterranean Freediving Meeting","France"
48,"Guillaume NÉRY ",114,114,114,0,2012-09-09,"World Championship 2012","France"
49,"Guillaume NÉRY ",114,114,113,1,2012-11-20,"Suunto Vertical Blue 2012","France"
50,"David MULLINS ",114,114,114,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","New Zealand"
51,"Guillaume NÉRY ",113,113,0,0,2008-06-30,"WR Attempt - NÃ‰RY Guillaume(CWT)","France"
52,"David MULLINS ",113,129,96,17,2015-08-27,"Australian Depth National Championship","New Zealand"
53,"Herbert NITSCH ",112,112,112,0,2007-10-27,"4th AIDA Individual World Championship","Austria"
54,"William TRUBRIDGE ",112,112,112,0,2016-04-22,"Vertical Blue 2016","New Zealand"
55,"Herbert NITSCH ",111,111,111,0,2006-12-09,"5th AIDA Freediving Team World Championship","Austria"
56,"Alexey MOLCHANOV ",111,111,111,0,2009-12-03,"5th AIDA Individual World Championship 2009","Russian Federation"
57,"William TRUBRIDGE ",111,111,111,0,2014-05-25,"Caribbean Cup 2014","New Zealand"
58,"Carlos COSTE ",110,110,110,0,2009-12-03,"5th AIDA Individual World Championship 2009","Venezuela"
59,"Guillaume NÉRY ",110,110,110,0,2010-06-14,"3rd Mediterranean Freediving Meeting","France"
60,"Guillaume NÉRY ",110,110,110,0,2012-11-20,"Suunto Vertical Blue 2012","France"
61,"David MULLINS ",110,114,105,5,2007-10-27,"4th AIDA Individual World Championship","New Zealand"
62,"David MULLINS ",110,118,101,9,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","New Zealand"
63,"William TRUBRIDGE ",110,110,110,0,2009-12-03,"5th AIDA Individual World Championship 2009","New Zealand"
64,"Guillaume NÉRY ",109,109,109,0,2009-12-03,"5th AIDA Individual World Championship 2009","France"
65,"Guillaume NÉRY ",109,109,109,0,2006-08-31,"WR Attempt - NÃ‰RY Guillaume(CWT)","France"
66,"William TRUBRIDGE ",109,111,106,0,2009-04-03,"Vertical Blue 2009","New Zealand"
67,"Martin STEPANEK ",108,108,108,0,2006-04-01,"WR Attempt - STEPANEK Martin(CNF - CWT -FIM)","Czech Republic"
68,"Ryuzo SHINOMIYA ",108,108,108,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Japan"
69,"Guillaume NÉRY ",108,108,108,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","France"
70,"David MULLINS ",108,108,108,0,2008-04-01,"Vertical Blue 2008","New Zealand"
71,"Goran COLAK ",108,108,108,0,2015-09-11,"2015 AIDA Depth World Championships","Croatia"
72,"William TRUBRIDGE ",108,119,96,12,2011-04-17,"Vertical Blue 2011","New Zealand"
73,"William TRUBRIDGE ",108,126,89,19,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
74,"William TRUBRIDGE ",108,126,89,19,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
75,"William TRUBRIDGE ",108,126,89,19,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
76,"Samo JERANKO ",108,108,108,0,2015-09-05,"2015 AIDA Depth World Championships Pre competition","Slovenia"
77,"Samo JERANKO ",108,108,108,0,2015-09-11,"2015 AIDA Depth World Championships","Slovenia"
78,"Davide CARRERA ",107,107,107,0,2016-05-26,"Caribbean Cup 2016","Italy"
79,"Davide CARRERA ",107,107,107,0,2016-05-26,"Caribbean Cup 2016","Italy"
80,"Davide CARRERA ",107,107,0,0,2016-05-26,"Caribbean Cup 2016","Italy"
81,"Davide CARRERA ",107,107,107,0,2016-05-26,"Caribbean Cup 2016","Italy"
82,"Davide CARRERA ",107,107,0,0,2016-05-26,"Caribbean Cup 2016","Italy"
83,"Ryuzo SHINOMIYA ",107,107,107,0,2009-12-02,"Deans Blue Hole Crew","Japan"
84,"Veljano ZANKI ",107,107,107,0,2013-11-09,"Vertical Blue 2013","Croatia"
85,"William TRUBRIDGE ",107,107,107,0,2009-04-03,"Vertical Blue 2009","New Zealand"
86,"Samo JERANKO ",107,107,107,0,2014-11-27,"Suunto Vertical Blue","Slovenia"
87,"Davide CARRERA ",106,106,106,0,2016-05-26,"Caribbean Cup 2016","Italy"
88,"Morgan BOURCHIS ",106,106,0,0,2015-06-07,"9th Mediterranean World Cup","France"
89,"Davide CARRERA ",106,106,106,0,2016-05-26,"Caribbean Cup 2016","Italy"
90,"Davide CARRERA ",106,106,0,0,2016-05-26,"Caribbean Cup 2016","Italy"
91,"Martin STEPANEK ",106,106,106,0,2006-04-01,"WR Attempt - STEPANEK Martin(CNF - CWT -FIM)","Czech Republic"
92,"Ryuzo SHINOMIYA ",106,106,106,0,2013-10-30,"One Breath Jamboree","Japan"
93,"Walter STEYN ",106,106,106,0,2011-04-17,"Vertical Blue 2011","Australia"
94,"Guillaume NÉRY ",106,106,105,1,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","France"
95,"Herbert NITSCH ",105,105,105,0,2009-12-03,"5th AIDA Individual World Championship 2009","Austria"
96,"Carlos COSTE ",105,105,105,0,2005-09-01,"1st AIDA Individual Constant Weight World Freediving Championship","Venezuela"
97,"Ryuzo SHINOMIYA ",105,105,105,0,2009-04-03,"Vertical Blue 2009","Japan"
98,"Ryuzo SHINOMIYA ",105,112,97,8,2011-09-15,"AIDA Individual Depth World Championship 2011","Japan"
99,"Ryuzo SHINOMIYA ",105,105,105,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
100,"Ryuzo SHINOMIYA ",105,105,105,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
101,"Ryuzo SHINOMIYA ",105,105,105,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
102,"Guillaume NÉRY ",105,105,104,1,2012-06-06,"5th Mediterranean World Cup","France"
103,"Guillaume NÉRY ",105,105,104,1,2012-06-06,"5th Mediterranean World Cup","France"
104,"Guillaume NÉRY ",105,105,105,0,2015-06-20,"Nice Abyss Contest 2015","France"
105,"Morgan BOURCHIS ",105,105,105,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","France"
106,"Alexey MOLCHANOV ",105,105,105,0,2015-11-01,"Big Blue","Russian Federation"
107,"William TRUBRIDGE ",105,105,105,0,2010-07-06,"7th AIDA Team World Championship 2010","New Zealand"
108,"William TRUBRIDGE ",105,119,90,15,2011-04-17,"Vertical Blue 2011","New Zealand"
109,"Homar LEUCI ",105,105,0,0,2016-04-22,"Vertical Blue 2016","Italy"
110,"Homar LEUCI ",105,105,105,0,2016-04-22,"Vertical Blue 2016","Italy"
111,"Jonathan  Sunnex ",105,105,105,0,2013-11-09,"Vertical Blue 2013","New Zealand"
112,"Adam STERN ",104,104,104,0,2016-11-02,"Blue Element 2016","Australia"
113,"Eric FATTAH ",104,104,104,0,2011-04-17,"Vertical Blue 2011","Canada"
114,"Carlos COSTE ",104,104,104,0,2009-12-03,"5th AIDA Individual World Championship 2009","Venezuela"
115,"Ryuzo SHINOMIYA ",104,105,102,2,2008-04-01,"Vertical Blue 2008","Japan"
116,"Morgan BOURCHIS ",103,103,0,0,2015-06-07,"9th Mediterranean World Cup","France"
117,"Davide CARRERA ",103,103,103,0,2013-11-09,"Vertical Blue 2013","Italy"
118,"Carlos COSTE ",103,103,103,0,2007-10-27,"4th AIDA Individual World Championship","Venezuela"
119,"Martin STEPANEK ",103,103,103,0,2004-09-10,"WR Attempt - STEPANEK Martin (CWT)","Czech Republic"
120,"Guillaume NÉRY ",103,105,100,3,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","France"
121,"Veljano ZANKI ",103,103,103,0,2013-11-09,"Vertical Blue 2013","Croatia"
122,"William TRUBRIDGE ",103,111,94,9,2009-04-03,"Vertical Blue 2009","New Zealand"
123,"Michael BOARD ",103,103,103,0,2014-11-27,"Suunto Vertical Blue","United Kingdom"
124,"Stig PRYDS ",103,103,0,0,2016-04-22,"Vertical Blue 2016","Denmark"
125,"Alfredo ROEN ",102,102,102,0,2016-09-04,"BONAIRE DEEPSEA CHALLENGE","Spain"
126,"Carlos COSTE ",102,102,102,0,2004-06-14,"BIOS Freeology Open Classic 2004","Venezuela"
127,"Ryuzo SHINOMIYA ",102,102,102,0,2009-04-03,"Vertical Blue 2009","Japan"
128,"Ryuzo SHINOMIYA ",102,102,102,0,2010-07-06,"7th AIDA Team World Championship 2010","Japan"
129,"Walter STEYN ",102,102,102,0,2011-04-17,"Vertical Blue 2011","Australia"
130,"Jesper STECHMANN ",102,102,102,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Denmark"
131,"Guillaume NÉRY ",102,102,102,0,2009-12-03,"5th AIDA Individual World Championship 2009","France"
132,"Guillaume NÉRY ",102,102,102,0,2010-07-06,"7th AIDA Team World Championship 2010","France"
133,"Morgan BOURCHIS ",102,102,102,0,2013-09-09,"2013 Kalamata Open","France"
134,"Alexey MOLCHANOV ",102,102,102,0,2009-12-03,"5th AIDA Individual World Championship 2009","Russian Federation"
135,"David MULLINS ",102,122,81,21,2011-04-17,"Vertical Blue 2011","New Zealand"
136,"William TRUBRIDGE ",102,102,101,1,2009-12-03,"5th AIDA Individual World Championship 2009","New Zealand"
137,"Giorgos PANAGIOTAKIS ",102,102,102,0,2013-09-09,"2013 Kalamata Open","Greece"
138,"Samo JERANKO ",102,102,102,0,2014-11-27,"Suunto Vertical Blue","Slovenia"
139,"Michael BOARD ",102,102,102,0,2013-11-09,"Vertical Blue 2013","United Kingdom"
140,"Michal RISIAN ",102,102,102,0,2012-09-09,"World Championship 2012","Czech Republic"
141,"Jonathan  Sunnex ",102,102,102,0,2012-11-06,"Deep Dahab Classic","New Zealand"
142,"Adam STERN ",101,104,97,4,2016-11-02,"Blue Element 2016","Australia"
143,"Kurt Chambers ",101,101,101,0,2016-05-26,"Caribbean Cup 2016","United States"
144,"Davide CARRERA ",101,101,101,0,2013-11-09,"Vertical Blue 2013","Italy"
145,"Ryuzo SHINOMIYA ",101,107,94,0,2009-04-03,"Vertical Blue 2009","Japan"
146,"Christian MALDAMÉ ",101,101,101,0,2011-09-15,"AIDA Individual Depth World Championship 2011","France"
147,"Johan THELAUS ",101,101,101,0,2009-12-03,"5th AIDA Individual World Championship 2009","Sweden"
148,"Natalia MOLCHANOVA ",101,101,101,0,2009-09-25,"Ruler of the Deep","Russian Federation"
149,"Natalia MOLCHANOVA ",101,101,101,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Russian Federation"
150,"Alexey MOLCHANOV ",101,101,101,0,2008-07-25,"Mediterranean Freediving Meeting","Russian Federation"
151,"David MULLINS ",101,122,79,22,2011-04-17,"Vertical Blue 2011","New Zealand"
152,"William TRUBRIDGE ",101,101,101,0,2009-04-03,"Vertical Blue 2009","New Zealand"
153,"Giorgos PANAGIOTAKIS ",101,101,101,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Greece"
154,"Alfredo ROEN ",101,101,101,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
155,"Alfredo ROEN ",101,101,101,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
156,"Alfredo ROEN ",101,101,101,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
157,"Nick MEVOLI ",101,101,91,10,2013-09-09,"2013 Kalamata Open","United States"
158,"Stephane TOURREAU ",101,101,101,0,2016-04-22,"Vertical Blue 2016","France"
159,"Alfredo ROEN ",101,101,101,0,2016-04-22,"Vertical Blue 2016","Spain"
160,"Sebastian LIRA ",100,100,100,0,2016-05-26,"Caribbean Cup 2016","Chile"
161,"Manolis GIANKOS ",100,100,100,0,2008-09-03,"AIDA Team World Championships 2008","Greece"
162,"Eric FATTAH ",100,100,100,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Canada"
163,"Carlos COSTE ",100,100,100,0,2014-05-25,"Caribbean Cup 2014","Venezuela"
164,"Martin STEPANEK ",100,100,100,0,2006-12-09,"5th AIDA Freediving Team World Championship","Czech Republic"
165,"Martin STEPANEK ",100,100,100,0,2008-09-03,"AIDA Team World Championships 2008","Czech Republic"
166,"Ryuzo SHINOMIYA ",100,100,100,0,2008-08-10,"Deepwater Okinawa Cup 2008","Japan"
167,"Ryuzo SHINOMIYA ",100,100,100,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
168,"Ryuzo SHINOMIYA ",100,100,100,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
169,"Ryuzo SHINOMIYA ",100,100,100,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
170,"Walter STEYN ",100,100,100,0,2009-04-03,"Vertical Blue 2009","Australia"
171,"Jesper STECHMANN ",100,100,100,0,2012-08-09,"Danish Depth Championship 2012","Denmark"
172,"Johan THELAUS ",100,100,99,1,2009-12-03,"5th AIDA Individual World Championship 2009","Sweden"
173,"Morgan BOURCHIS ",100,100,100,0,2012-11-20,"Suunto Vertical Blue 2012","France"
174,"Morgan BOURCHIS ",100,100,100,0,2012-11-20,"Suunto Vertical Blue 2012","France"
175,"Morgan BOURCHIS ",100,100,100,0,2012-11-20,"Suunto Vertical Blue 2012","France"
176,"Natalia MOLCHANOVA ",100,100,100,0,2011-04-17,"Vertical Blue 2011","Russian Federation"
177,"Anthony WILLIAMS ",100,100,100,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
178,"Anthony WILLIAMS ",100,100,100,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
179,"Anthony WILLIAMS ",100,100,100,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
180,"Alexey MOLCHANOV ",100,100,100,0,2012-09-09,"World Championship 2012","Russian Federation"
181,"Antero JOKI ",100,100,100,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Finland"
182,"David MULLINS ",100,100,100,0,2013-03-22,"AIDA NZ Depth Nationals","New Zealand"
183,"Giorgos PANAGIOTAKIS ",100,103,96,4,2015-09-11,"2015 AIDA Depth World Championships","Greece"
184,"Michael BOARD ",100,100,100,0,2013-11-09,"Vertical Blue 2013","United Kingdom"
185,"Michael BOARD ",100,100,100,0,2015-09-05,"2015 AIDA Depth World Championships Pre competition","United Kingdom"
186,"Nick MEVOLI ",100,100,100,0,2013-05-20,"Caribbean Cup 2013","United States"
187,"Adam STERN ",100,100,100,0,2016-04-22,"Vertical Blue 2016","Australia"
188,"Stig PRYDS ",100,100,100,0,2016-04-22,"Vertical Blue 2016","Denmark"
189,"Sebastian LIRA ",100,100,100,0,2016-05-26,"Caribbean Cup 2016","Chile"
190,"Sebastian LIRA ",100,100,100,0,2016-05-26,"Caribbean Cup 2016","Chile"
191,"Alejandro  Lemus ",100,100,100,0,2014-11-27,"Suunto Vertical Blue","Mexico"
192,"Mateusz Malina ",100,100,100,0,2010-09-26,"Triple Depth 2010","Poland"
193,"Dean Chaouche ",100,100,100,0,2016-04-22,"Vertical Blue 2016","United Kingdom"
194,"Davide CARRERA ",99,99,99,0,2009-04-03,"Vertical Blue 2009","Italy"
195,"Davide CARRERA ",99,99,99,0,2013-11-09,"Vertical Blue 2013","Italy"
196,"Guillaume NÉRY ",99,99,99,0,2007-10-27,"4th AIDA Individual World Championship","France"
197,"Guillaume NÉRY ",99,118,79,20,2010-06-14,"3rd Mediterranean Freediving Meeting","France"
198,"Evgeny SYCHEV ",99,99,99,0,2014-11-27,"Suunto Vertical Blue","Russian Federation"
199,"Homar LEUCI ",99,99,0,0,2016-04-22,"Vertical Blue 2016","Italy"
200,"Stephane TOURREAU ",99,99,99,0,2016-04-22,"Vertical Blue 2016","France"
201,"Alfredo ROEN ",99,99,99,0,2016-04-22,"Vertical Blue 2016","Spain"
202,"Hanako HIROSE ",99,99,99,0,2016-04-22,"Vertical Blue 2016","Japan"
203,"Alfredo ROEN ",98,98,93,5,2016-09-04,"BONAIRE DEEPSEA CHALLENGE","Spain"
204,"Davide CARRERA ",98,98,98,0,2009-04-03,"Vertical Blue 2009","Italy"
205,"Carlos COSTE ",98,104,91,7,2005-05-28,"CIPA Open of Nice","Venezuela"
206,"Carlos COSTE ",98,103,92,6,2014-11-27,"Suunto Vertical Blue","Venezuela"
207,"Martin STEPANEK ",98,103,98,0,2004-06-14,"BIOS Freeology Open Classic 2004","Czech Republic"
208,"Ryuzo SHINOMIYA ",98,105,90,8,2012-11-20,"Suunto Vertical Blue 2012","Japan"
209,"Ryuzo SHINOMIYA ",98,105,90,8,2012-11-20,"Suunto Vertical Blue 2012","Japan"
210,"Ryuzo SHINOMIYA ",98,105,90,8,2012-11-20,"Suunto Vertical Blue 2012","Japan"
211,"Walter STEYN ",98,98,98,0,2009-04-03,"Vertical Blue 2009","Australia"
212,"Walter STEYN ",98,102,93,5,2011-04-17,"Vertical Blue 2011","Australia"
213,"Guillaume NÉRY ",98,100,95,3,2008-09-03,"AIDA Team World Championships 2008","France"
214,"Alfredo ROEN ",98,98,98,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
215,"Alfredo ROEN ",98,98,98,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
216,"Alfredo ROEN ",98,98,98,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
217,"Stephane TOURREAU ",98,98,98,0,2016-04-22,"Vertical Blue 2016","France"
218,"Alejandro  Lemus ",97,97,97,0,2016-05-26,"Caribbean Cup 2016","Mexico"
219,"Carlos COSTE ",97,97,97,0,2005-05-14,"Venezuela Freediving Championship","Venezuela"
220,"Christian MALDAMÉ ",97,97,97,0,2009-12-03,"5th AIDA Individual World Championship 2009","France"
221,"Juraj KARPIS ",97,101,92,5,2007-10-27,"4th AIDA Individual World Championship","Slovakia"
222,"Morgan BOURCHIS ",97,97,97,0,2014-11-18,"Freediving World Competition","France"
223,"Natalia MOLCHANOVA ",97,97,96,1,2009-12-03,"5th AIDA Individual World Championship 2009","Russian Federation"
224,"Stephane TOURREAU ",97,97,97,0,2015-09-05,"2015 AIDA Depth World Championships Pre competition","France"
225,"Hanako HIROSE ",97,97,97,0,2016-04-22,"Vertical Blue 2016","Japan"
226,"Tomoka FUKUDA ",97,97,0,0,2016-04-22,"Vertical Blue 2016","Japan"
227,"Andrey MATVEENKO ",96,96,96,0,2016-09-16,"Team World Championship","Russian Federation"
228,"Jin WANG ",96,96,96,0,2016-05-25,"Freedive Panglao May Minicompetition","China"
229,"Kurt Chambers ",96,96,96,0,2016-05-26,"Caribbean Cup 2016","United States"
230,"Davide CARRERA ",96,96,96,0,2009-04-03,"Vertical Blue 2009","Italy"
231,"Ryuzo SHINOMIYA ",96,105,86,10,2012-11-20,"Suunto Vertical Blue 2012","Japan"
232,"Ryuzo SHINOMIYA ",96,105,86,10,2012-11-20,"Suunto Vertical Blue 2012","Japan"
233,"Ryuzo SHINOMIYA ",96,105,86,10,2012-11-20,"Suunto Vertical Blue 2012","Japan"
234,"Guillaume NÉRY ",96,96,96,0,2004-06-09,"WR Attempt - NERY Guillaume (CWT)","France"
235,"Natalia MOLCHANOVA ",96,96,96,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Russian Federation"
236,"Sara CAMPBELL ",96,96,96,0,2009-04-03,"Vertical Blue 2009","United Kingdom"
237,"Jacob HANSEN ",96,96,96,0,2011-07-16,"Danish mini competition 2011","Denmark"
238,"Evgeny SYCHEV ",96,96,96,0,2014-11-27,"Suunto Vertical Blue","Russian Federation"
239,"Michael BOARD ",96,96,96,0,2012-11-20,"Suunto Vertical Blue 2012","United Kingdom"
240,"Michael BOARD ",96,96,96,0,2012-11-20,"Suunto Vertical Blue 2012","United Kingdom"
241,"Michael BOARD ",96,96,96,0,2012-11-20,"Suunto Vertical Blue 2012","United Kingdom"
242,"Stephane TOURREAU ",96,96,96,0,2014-11-18,"Freediving World Competition","France"
243,"Nick MEVOLI ",96,96,96,0,2013-05-20,"Caribbean Cup 2013","United States"
244,"Walid BOUDHIAF ",96,96,96,0,2012-11-20,"Suunto Vertical Blue 2012","Tunisia"
245,"Walid BOUDHIAF ",96,96,96,0,2012-11-20,"Suunto Vertical Blue 2012","Tunisia"
246,"Walid BOUDHIAF ",96,96,96,0,2012-11-20,"Suunto Vertical Blue 2012","Tunisia"
247,"Stephane TOURREAU ",96,96,96,0,2016-04-22,"Vertical Blue 2016","France"
248,"Tomoka FUKUDA ",96,96,0,0,2016-04-22,"Vertical Blue 2016","Japan"
249,"Jin WANG ",96,96,96,0,2016-05-25,"Freedive Panglao May Minicompetition","China"
250,"Kurt Chambers ",96,96,96,0,2016-05-26,"Caribbean Cup 2016","United States"
251,"Alejandro  Lemus ",96,96,86,10,2014-05-25,"Caribbean Cup 2014","Mexico"
252,"Kurt Chambers ",96,96,96,0,2016-05-26,"Caribbean Cup 2016","United States"
253,"Tomoka FUKUDA ",95,95,95,0,2016-05-26,"Caribbean Cup 2016","Japan"
254,"Herbert NITSCH ",95,95,95,0,2003-09-05,"WR Attempt - NITSCH Herbert (CWT,CNF, FIM)","Austria"
255,"Carlos COSTE ",95,95,95,0,2013-05-20,"Caribbean Cup 2013","Venezuela"
256,"Ryuzo SHINOMIYA ",95,105,84,11,2008-08-24,"Prechallenge 2008","Japan"
257,"Ryuzo SHINOMIYA ",95,95,95,0,2015-04-27,"Suunto Vertical Blue 2015","Japan"
258,"Walter STEYN ",95,95,95,0,2009-04-03,"Vertical Blue 2009","Australia"
259,"Jesper STECHMANN ",95,95,95,0,2015-09-05,"2015 AIDA Depth World Championships Pre competition","Denmark"
260,"Guillaume NÉRY ",95,95,95,0,2008-07-25,"Mediterranean Freediving Meeting","France"
261,"Morgan BOURCHIS ",95,95,95,0,2012-11-20,"Suunto Vertical Blue 2012","France"
262,"Morgan BOURCHIS ",95,95,95,0,2012-11-20,"Suunto Vertical Blue 2012","France"
263,"Morgan BOURCHIS ",95,95,95,0,2012-11-20,"Suunto Vertical Blue 2012","France"
264,"Natalia MOLCHANOVA ",95,95,95,0,2008-07-25,"Mediterranean Freediving Meeting","Russian Federation"
265,"Anthony WILLIAMS ",95,95,95,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
266,"Anthony WILLIAMS ",95,95,95,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
267,"Anthony WILLIAMS ",95,95,95,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
268,"Alexey MOLCHANOV ",95,95,85,10,2008-09-03,"AIDA Team World Championships 2008","Russian Federation"
269,"Michele TOMASI ",95,104,85,10,2013-11-09,"Vertical Blue 2013","Italy"
270,"Alexandr BUBENCHIKOV ",95,95,95,0,2015-09-11,"2015 AIDA Depth World Championships","Ukraine"
