"Ranking","Name","Result_m","Announced","Points","Penalties","Date","Place","Country"
33,"Morgan BOURCHIS ",88,88,88,0,2012-11-20,"Suunto Vertical Blue 2012","France"
34,"Morgan BOURCHIS ",88,88,88,0,2012-11-20,"Suunto Vertical Blue 2012","France"
35,"Morgan BOURCHIS ",88,88,88,0,2012-11-20,"Suunto Vertical Blue 2012","France"
36,"Alexey MOLCHANOV ",88,90,85,3,2014-11-27,"Suunto Vertical Blue","Russian Federation"
37,"William TRUBRIDGE ",88,88,88,0,2009-04-03,"Vertical Blue 2009","New Zealand"
38,"Morgan BOURCHIS ",87,87,87,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","France"
39,"Morgan BOURCHIS ",86,86,86,0,2012-11-20,"Suunto Vertical Blue 2012","France"
40,"Morgan BOURCHIS ",86,86,86,0,2012-11-20,"Suunto Vertical Blue 2012","France"
41,"Morgan BOURCHIS ",86,86,86,0,2012-11-20,"Suunto Vertical Blue 2012","France"
42,"Morgan BOURCHIS ",86,86,86,0,2013-09-09,"2013 Kalamata Open","France"
43,"Alexey MOLCHANOV ",86,86,86,0,2015-05-13,"Russian National Open","Russian Federation"
44,"William WINRAM ",86,86,86,0,2009-12-03,"5th AIDA Individual World Championship 2009","Canada"
45,"William TRUBRIDGE ",86,86,86,0,2008-04-01,"Vertical Blue 2008","New Zealand"
46,"Alexey MOLCHANOV ",85,85,85,0,2013-04-25,"Russian National Open","Russian Federation"
47,"Alexey MOLCHANOV ",85,85,85,0,2015-09-11,"2015 AIDA Depth World Championships","Russian Federation"
48,"William TRUBRIDGE ",85,85,85,0,2009-12-03,"5th AIDA Individual World Championship 2009","New Zealand"
49,"Morgan BOURCHIS ",84,84,84,0,2012-11-20,"Suunto Vertical Blue 2012","France"
50,"Morgan BOURCHIS ",84,84,84,0,2012-11-20,"Suunto Vertical Blue 2012","France"
51,"Morgan BOURCHIS ",84,84,84,0,2012-11-20,"Suunto Vertical Blue 2012","France"
52,"Morgan BOURCHIS ",84,84,84,0,2014-11-18,"Freediving World Competition","France"
53,"William TRUBRIDGE ",84,84,84,0,2008-04-01,"Vertical Blue 2008","New Zealand"
54,"Michal RISIAN ",84,84,84,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Slovakia"
55,"Herbert NITSCH ",83,83,83,0,2007-10-21,"Triple Depth","Austria"
56,"Alexey MOLCHANOV ",83,83,83,0,2009-09-25,"Ruler of the Deep","Russian Federation"
57,"Morgan BOURCHIS ",82,82,82,0,2012-11-20,"Suunto Vertical Blue 2012","France"
58,"Morgan BOURCHIS ",82,82,82,0,2012-11-20,"Suunto Vertical Blue 2012","France"
59,"Morgan BOURCHIS ",82,82,82,0,2012-11-20,"Suunto Vertical Blue 2012","France"
60,"William TRUBRIDGE ",82,82,82,0,2007-04-07,"WR Attempt - TRUBRIDGE William(CNF)","New Zealand"
61,"William TRUBRIDGE ",82,92,71,11,2013-05-20,"Caribbean Cup 2013","New Zealand"
62,"William TRUBRIDGE ",81,81,81,0,2007-04-07,"WR Attempt - TRUBRIDGE William(CNF)","New Zealand"
63,"Alexey MOLCHANOV ",80,80,80,0,2016-10-22,"Big Blue World Cup","Russian Federation"
64,"Martin STEPANEK ",80,80,80,0,2005-04-08,"WR Attempt - STEPANEK Martin (CWT, CNF, FIM)","Czech Republic"
65,"Morgan BOURCHIS ",80,80,80,0,2011-09-15,"AIDA Individual Depth World Championship 2011","France"
66,"Alexey MOLCHANOV ",80,80,80,0,2009-09-25,"Ruler of the Deep","Russian Federation"
67,"Alexey MOLCHANOV ",80,80,80,0,2012-11-20,"Suunto Vertical Blue 2012","Russian Federation"
68,"Alexey MOLCHANOV ",80,80,80,0,2012-11-20,"Suunto Vertical Blue 2012","Russian Federation"
69,"Alexey MOLCHANOV ",80,80,80,0,2012-11-20,"Suunto Vertical Blue 2012","Russian Federation"
70,"Alexey MOLCHANOV ",80,80,80,0,2015-11-01,"Big Blue","Russian Federation"
71,"William WINRAM ",80,80,80,0,2009-12-03,"5th AIDA Individual World Championship 2009","Canada"
72,"William WINRAM ",80,80,0,0,2011-09-12,"4th Med Cup 2011","Canada"
73,"William WINRAM ",80,80,80,0,2011-09-12,"4th Mediterranean World Cup","Canada"
74,"Dean Chaouche ",78,78,78,0,2016-11-02,"Blue Element 2016","United Kingdom"
75,"Guillaume NÉRY ",78,78,78,0,2009-12-03,"5th AIDA Individual World Championship 2009","France"
76,"Samo JERANKO ",77,77,77,0,2016-11-03,"Red C cup","Slovenia"
77,"Herbert NITSCH ",77,77,77,0,2007-10-27,"4th AIDA Individual World Championship","Austria"
78,"Mateusz Malina ",77,77,77,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Poland"
79,"Morgan BOURCHIS ",76,76,76,0,2009-12-03,"5th AIDA Individual World Championship 2009","France"
80,"Alexey MOLCHANOV ",76,76,76,0,2009-12-03,"5th AIDA Individual World Championship 2009","Russian Federation"
81,"William WINRAM ",76,76,76,0,2007-09-07,"1st Annual Thermocline Free Dahab Invitational","Canada"
82,"William WINRAM ",76,76,76,0,2012-08-20,"AIDA Red Sea World Cup","Canada"
83,"Samo JERANKO ",76,76,76,0,2014-11-27,"Suunto Vertical Blue","Slovenia"
84,"Miguel LOZANO ",76,76,76,0,2015-09-11,"2015 AIDA Depth World Championships","Spain"
85,"Stig PRYDS ",76,76,0,0,2016-04-22,"Vertical Blue 2016","Denmark"
86,"Mateusz Malina ",76,76,76,0,2015-09-11,"2015 AIDA Depth World Championships","Poland"
87,"Guillaume NÉRY ",75,75,75,0,2009-06-22,"2nd Mediterranean Freediving Meeting","France"
88,"Christian MALDAMÉ ",75,75,75,0,2009-12-03,"5th AIDA Individual World Championship 2009","France"
89,"Alexey MOLCHANOV ",75,75,65,10,2009-09-06,"Triple Depth 2009","Russian Federation"
90,"William WINRAM ",75,75,75,0,2007-10-27,"4th AIDA Individual World Championship","Canada"
91,"William TRUBRIDGE ",75,75,75,0,2007-07-16,"2nd Trophy City of Peace","New Zealand"
92,"William TRUBRIDGE ",75,75,75,0,2015-06-06,"NIRVANA OCEANQUEST","New Zealand"
93,"Samo JERANKO ",75,75,75,0,2013-11-09,"Vertical Blue 2013","Slovenia"
94,"Stig PRYDS ",75,75,75,0,2015-09-11,"2015 AIDA Depth World Championships","Denmark"
95,"Herbert NITSCH ",74,74,73,1,2009-12-03,"5th AIDA Individual World Championship 2009","Austria"
96,"Walter STEYN ",74,74,74,0,2011-04-17,"Vertical Blue 2011","Australia"
97,"Antonijo KODERMAN ",74,74,74,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Slovenia"
98,"Dean Chaouche ",74,74,74,0,2016-04-22,"Vertical Blue 2016","United Kingdom"
99,"Guillaume NÉRY ",73,73,73,0,2009-12-03,"5th AIDA Individual World Championship 2009","France"
100,"Christian MALDAMÉ ",73,73,73,0,2009-12-03,"5th AIDA Individual World Championship 2009","France"
101,"Morgan BOURCHIS ",73,73,73,0,2009-12-03,"5th AIDA Individual World Championship 2009","France"
102,"Morgan BOURCHIS ",73,73,73,0,2014-06-12,"Nice Abyss Contest 2014","France"
103,"Antero JOKI ",73,73,73,0,2012-11-20,"Suunto Vertical Blue 2012","Finland"
104,"Antero JOKI ",73,73,73,0,2012-11-20,"Suunto Vertical Blue 2012","Finland"
105,"Antero JOKI ",73,73,73,0,2012-11-20,"Suunto Vertical Blue 2012","Finland"
106,"Stig PRYDS ",73,73,73,0,2014-08-25,"2014 AIDA EuroCup","Denmark"
107,"William TRUBRIDGE ",72,72,72,0,2016-05-26,"Caribbean Cup 2016","New Zealand"
108,"Morgan BOURCHIS ",72,72,72,0,2013-07-06,"Nice Abyss contest 2013","France"
109,"Morgan BOURCHIS ",72,72,72,0,2013-07-06,"Nice Abyss contest 2013","France"
110,"William WINRAM ",72,72,72,0,2010-06-14,"3rd Mediterranean Freediving Meeting","Canada"
111,"William WINRAM ",72,72,72,0,2012-08-20,"AIDA Red Sea World Cup","Canada"
112,"Kerian HIBBS ",72,72,72,0,2009-12-02,"Deans Blue Hole Crew","New Zealand"
113,"William TRUBRIDGE ",72,72,72,0,2014-05-25,"Caribbean Cup 2014","New Zealand"
114,"Samo JERANKO ",72,72,72,0,2013-11-09,"Vertical Blue 2013","Slovenia"
115,"Sayuri KINOSHITA ",72,72,72,0,2016-04-22,"Vertical Blue 2016","Japan"
116,"Stig PRYDS ",72,72,72,0,2016-04-22,"Vertical Blue 2016","Denmark"
117,"Mateusz Malina ",72,86,57,15,2015-09-05,"2015 AIDA Depth World Championships Pre competition","Poland"
118,"Jesper STECHMANN ",71,71,71,0,2014-08-27,"2014 Danish hampionships","Denmark"
119,"Natalia MOLCHANOVA ",71,71,71,0,2015-05-13,"Russian National Open","Russian Federation"
120,"Goran COLAK ",71,71,71,0,2015-09-11,"2015 AIDA Depth World Championships","Croatia"
121,"Michele TOMASI ",71,71,71,0,2013-11-09,"Vertical Blue 2013","Italy"
122,"Miguel LOZANO ",71,71,71,0,2013-10-30,"One Breath Jamboree","Spain"
123,"David KENT ",71,71,71,0,2014-09-28,"little blue hole competition","United Kingdom"
124,"Johan HAGG ",71,71,71,0,2015-09-11,"2015 AIDA Depth World Championships","Sweden"
125,"Grant HOGAN ",71,71,71,0,2012-05-04,"Deja Blue 3","United States"
126,"Herbert NITSCH ",70,70,70,0,2006-06-04,"Triple Depth 2006","Austria"
127,"Walter STEYN ",70,70,70,0,2011-04-17,"Vertical Blue 2011","Australia"
128,"Guillaume NÉRY ",70,70,70,0,2010-06-14,"3rd Mediterranean Freediving Meeting","France"
129,"Natalia MOLCHANOVA ",70,70,70,0,2014-05-15,"Russian National","Russian Federation"
130,"Alexey MOLCHANOV ",70,70,70,0,2012-05-08,"FDD Russian Open","Russian Federation"
131,"Antero JOKI ",70,70,70,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Finland"
132,"William WINRAM ",70,84,55,15,2007-09-07,"1st Annual Thermocline Free Dahab Invitational","Canada"
133,"William WINRAM ",70,70,70,0,2015-05-25,"FreedivingWorld Competition","Canada"
134,"Kerian HIBBS ",70,70,70,0,2010-06-14,"3rd Mediterranean Freediving Meeting","New Zealand"
135,"Robert KING ",70,70,70,0,2011-09-15,"AIDA Individual Depth World Championship 2011","United States"
136,"David KENT ",70,70,70,0,2013-07-25,"Little Blue Hole Competition","United Kingdom"
137,"Johan HAGG ",70,70,70,0,2014-08-25,"2014 AIDA EuroCup","Sweden"
138,"Remy DUBERN ",70,70,70,0,2015-09-05,"2015 AIDA Depth World Championships Pre competition","France"
139,"Stig PRYDS ",70,70,70,0,2013-08-07,"Nordic Championship 2013","Denmark"
140,"Walid BOUDHIAF ",70,70,70,0,2013-05-20,"Caribbean Cup 2013","Tunisia"
141,"Mateusz Malina ",70,70,70,0,2009-09-06,"Triple Depth 2009","Poland"
142,"Carlos COSTE ",69,69,69,0,2016-09-04,"BONAIRE DEEPSEA CHALLENGE","Venezuela"
143,"Sebastian NÄSLUND ",69,69,64,5,2010-09-26,"Triple Depth 2010","Sweden"
144,"Natalia MOLCHANOVA ",69,69,69,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Russian Federation"
145,"Johan THELAUS ",68,68,68,0,2010-06-14,"3rd Mediterranean Freediving Meeting","Sweden"
146,"Natalia MOLCHANOVA ",68,68,68,0,2013-04-25,"Russian National Open","Russian Federation"
147,"Rune Hallum SORENSEN ",68,68,68,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Denmark"
148,"Chris CRAWSHAW ",68,68,68,0,2014-11-27,"Suunto Vertical Blue","United Kingdom"
149,"Remy DUBERN ",68,68,68,0,2015-09-11,"2015 AIDA Depth World Championships","France"
150,"Sayuri KINOSHITA ",68,68,68,0,2016-04-22,"Vertical Blue 2016","Japan"
151,"Dean Chaouche ",68,68,68,0,2015-04-27,"Suunto Vertical Blue 2015","United Kingdom"
152,"Jesper STECHMANN ",67,67,67,0,2013-09-09,"2013 Kalamata Open","Denmark"
153,"Jure DAIC ",67,67,67,0,2009-12-03,"5th AIDA Individual World Championship 2009","Slovenia"
154,"Christian ERNEST ",67,67,67,0,2010-04-29,"Bizzy Blue Hole 2010","Sweden"
155,"Ashley CHAPMAN ",67,67,67,0,2012-11-20,"Suunto Vertical Blue 2012","United States"
156,"Ashley CHAPMAN ",67,67,67,0,2012-11-20,"Suunto Vertical Blue 2012","United States"
157,"Ashley CHAPMAN ",67,67,67,0,2012-11-20,"Suunto Vertical Blue 2012","United States"
158,"Pascal BERGER ",67,67,67,0,2014-11-27,"Suunto Vertical Blue","Switzerland"
159,"Mateusz Malina ",67,78,55,12,2012-08-20,"AIDA Red Sea World Cup","Poland"
160,"Kurt RANDOLPH ",66,66,66,0,2016-05-09,"Deja Blue 7","United States"
161,"Herbert NITSCH ",66,66,66,0,2004-09-11,"WR Attempt - NITSCH Herbert (CNF)","Austria"
162,"Ryuzo SHINOMIYA ",66,66,66,0,2014-11-27,"Suunto Vertical Blue","Japan"
163,"Walter STEYN ",66,66,66,0,2006-09-16,"US National Championships","Australia"
164,"Natalia MOLCHANOVA ",66,66,66,0,2012-05-08,"FDD Russian Open","Russian Federation"
165,"Antero JOKI ",66,66,66,0,2009-12-02,"Deans Blue Hole Crew","Finland"
166,"William WINRAM ",66,66,66,0,2006-08-27,"Okinawa Freedive Invitational 2006","Canada"
167,"Christian ERNEST ",66,66,66,0,2009-12-03,"5th AIDA Individual World Championship 2009","Sweden"
168,"Jens STOETZNER ",66,66,66,0,2015-09-05,"2015 AIDA Depth World Championships Pre competition","Germany"
169,"Ashley CHAPMAN ",65,65,65,0,2016-05-26,"Caribbean Cup 2016","United States"
170,"Ken KIRIYAMA ",65,65,65,0,2016-05-26,"Caribbean Cup 2016","Denmark"
171,"Sebastian LIRA ",65,65,65,0,2016-05-26,"Caribbean Cup 2016","Chile"
172,"Alexandr BUBENCHIKOV ",65,65,65,0,2016-11-03,"Red C cup","Ukraine"
173,"Jin WANG ",65,65,65,0,2016-04-30,"Freedive Panglao Depth Challenge","China"
174,"Ken KIRIYAMA ",65,76,53,0,2016-06-21,"Freedive Panglao June Minicompetition","Denmark"
175,"Ryuzo SHINOMIYA ",65,65,65,0,2014-11-27,"Suunto Vertical Blue","Japan"
176,"Antony JUDGE ",65,65,65,0,2012-06-01,"Freedive Paradise","Australia"
177,"Sebastian NÄSLUND ",65,65,65,0,2009-12-03,"5th AIDA Individual World Championship 2009","Sweden"
178,"Johan THELAUS ",65,65,65,0,2010-06-14,"3rd Mediterranean Freediving Meeting","Sweden"
179,"Johan THELAUS ",65,65,65,0,2010-06-14,"3rd Mediterranean Freediving Meeting","Sweden"
180,"Johan THELAUS ",65,65,65,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Sweden"
181,"Johan THELAUS ",65,65,65,0,2015-04-27,"Suunto Vertical Blue 2015","Sweden"
182,"Alena ZABLOUDILOVÁ ",65,65,65,0,2012-11-20,"Suunto Vertical Blue 2012","Czech Republic"
183,"Alena ZABLOUDILOVÁ ",65,65,65,0,2012-11-20,"Suunto Vertical Blue 2012","Czech Republic"
184,"Alena ZABLOUDILOVÁ ",65,65,65,0,2012-11-20,"Suunto Vertical Blue 2012","Czech Republic"
185,"Alexey MOLCHANOV ",65,65,65,0,2007-10-27,"4th AIDA Individual World Championship","Russian Federation"
186,"Antero JOKI ",65,65,65,0,2012-11-20,"Suunto Vertical Blue 2012","Finland"
187,"Antero JOKI ",65,65,65,0,2012-11-20,"Suunto Vertical Blue 2012","Finland"
188,"Antero JOKI ",65,65,65,0,2012-11-20,"Suunto Vertical Blue 2012","Finland"
189,"William WINRAM ",65,75,54,11,2015-05-25,"FreedivingWorld Competition","Canada"
190,"Leo Yasumasa MURAOKA ",65,0,65,0,2006-11-11,"Kona Regional Event 2006","United States"
191,"Christian ERNEST ",65,65,65,0,2010-08-14,"Nordic Deep 2010","Sweden"
192,"Christian ERNEST ",65,65,65,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Sweden"
193,"Ken KIRIYAMA ",65,65,65,0,2015-05-23,"Caribbean Cup 2015","Denmark"
194,"Ashley CHAPMAN ",65,65,65,0,2012-05-04,"Deja Blue 3","United States"
195,"Johan HAGG ",65,65,65,0,2014-08-25,"2014 AIDA EuroCup","Sweden"
196,"Nick MEVOLI ",65,65,65,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","United States"
197,"Nick MEVOLI ",65,65,65,0,2013-10-05,"Deja Blue IV","United States"
198,"Jens STOETZNER ",65,65,65,0,2015-09-11,"2015 AIDA Depth World Championships","Germany"
199,"Stig PRYDS ",65,65,65,0,2013-11-27,"UK-GERMANY COMPETITION","Denmark"
200,"Walid BOUDHIAF ",65,65,49,16,2011-09-15,"AIDA Individual Depth World Championship 2011","Tunisia"
201,"Walid BOUDHIAF ",65,65,65,0,2013-05-20,"Caribbean Cup 2013","Tunisia"
202,"Ashley CHAPMAN ",65,65,65,0,2016-05-26,"Caribbean Cup 2016","United States"
203,"Jonathan  Sunnex ",65,65,65,0,2013-11-09,"Vertical Blue 2013","New Zealand"
204,"Dean Chaouche ",65,65,65,0,2014-11-27,"Little Blue Hole Competition","United Kingdom"
205,"Alejandro  Lemus ",64,64,64,0,2016-05-26,"Caribbean Cup 2016","Mexico"
206,"Carlos COSTE ",64,64,64,0,2014-11-27,"Suunto Vertical Blue","Venezuela"
207,"John MOORCROFT ",64,64,64,0,2015-09-11,"2015 AIDA Depth World Championships","United Kingdom"
208,"William WINRAM ",64,70,57,7,2009-06-22,"2nd Mediterranean Freediving Meeting","Canada"
209,"Giorgos SAKKAS ",64,64,64,0,2015-09-11,"2015 AIDA Depth World Championships","Greece"
210,"Steinar SCHJAGER ",64,64,64,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Norway"
211,"Remy DUBERN ",64,64,64,0,2014-06-12,"Nice Abyss Contest 2014","France"
212,"thomas BOUCHARD ",64,68,59,5,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","France"
213,"John MOORCROFT ",63,63,58,5,2014-11-27,"Suunto Vertical Blue","United Kingdom"
214,"William WINRAM ",63,88,37,26,2011-09-15,"AIDA Individual Depth World Championship 2011","Canada"
215,"Nathan WATTS ",63,63,63,0,2012-11-20,"Suunto Vertical Blue 2012","Australia"
216,"Nathan WATTS ",63,63,63,0,2012-11-20,"Suunto Vertical Blue 2012","Australia"
217,"Nathan WATTS ",63,63,63,0,2012-11-20,"Suunto Vertical Blue 2012","Australia"
218,"Dimitris CHATZIASLAN ",63,63,63,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Greece"
219,"Robert KING ",63,63,53,10,2009-09-06,"Triple Depth 2009","United States"
220,"Robert KING ",63,63,63,0,2009-12-03,"5th AIDA Individual World Championship 2009","United States"
221,"Anders LARSSON ",63,63,63,0,2009-12-03,"5th AIDA Individual World Championship 2009","Sweden"
222,"Mads Becker JÃ˜RGENSEN ",63,63,63,0,2009-12-03,"5th AIDA Individual World Championship 2009","Denmark"
223,"Mads ISBERG ",63,63,63,0,2009-12-03,"5th AIDA Individual World Championship 2009","Denmark"
224,"Ashley CHAPMAN ",63,63,63,0,2012-05-04,"Deja Blue 3","United States"
225,"Marek APJAR ",63,63,63,0,2009-09-06,"Triple Depth 2009","Czech Republic"
226,"Pascal BERGER ",63,63,63,0,2014-11-27,"Suunto Vertical Blue","Switzerland"
227,"Jens STOETZNER ",63,63,63,0,2015-05-25,"FreedivingWorld Competition","Germany"
228,"Jessea WENJIE LU ",63,63,0,0,2016-04-22,"Vertical Blue 2016","China"
229,"Pepe SALCEDO ",62,62,62,0,2016-05-26,"Caribbean Cup 2016","Mexico"
230,"Ken KIRIYAMA ",62,65,58,3,2016-05-26,"Caribbean Cup 2016","Denmark"
231,"Ken KIRIYAMA ",62,76,47,0,2016-06-21,"Freedive Panglao June Minicompetition","Denmark"
232,"Herbert NITSCH ",62,62,62,0,2004-09-11,"WR Attempt - NITSCH Herbert (CNF)","Austria"
233,"Ryuzo SHINOMIYA ",62,62,62,0,2015-04-27,"Suunto Vertical Blue 2015","Japan"
234,"Sebastian NÄSLUND ",62,62,62,0,2009-11-24,"Deans Blue Hole Rehearsal","Sweden"
235,"Sebastian NÄSLUND ",62,62,62,0,2012-10-20,"TRIPLE DEPTH 2012","Sweden"
236,"Igor LIBERTI ",62,62,62,0,2012-05-03,"Deans Blue Hole Mini-comp","Switzerland"
237,"Christian MALDAMÉ ",62,62,62,0,2008-04-01,"Vertical Blue 2008","France"
238,"Christian MALDAMÉ ",62,62,62,0,2011-04-28,"Freedive Dahab Mini Comp 2011","France"
239,"Natalia MOLCHANOVA ",62,62,62,0,2009-12-03,"5th AIDA Individual World Championship 2009","Russian Federation"
240,"Alena ZABLOUDILOVÁ ",62,62,62,0,2012-11-20,"Suunto Vertical Blue 2012","Czech Republic"
241,"Alena ZABLOUDILOVÁ ",62,62,62,0,2012-11-20,"Suunto Vertical Blue 2012","Czech Republic"
242,"Alena ZABLOUDILOVÁ ",62,62,62,0,2012-11-20,"Suunto Vertical Blue 2012","Czech Republic"
243,"Antero JOKI ",62,62,62,0,2009-12-03,"5th AIDA Individual World Championship 2009","Finland"
244,"Christian ERNEST ",62,62,62,0,2009-11-24,"Deans Blue Hole Rehearsal","Sweden"
245,"Rune Hallum SORENSEN ",62,62,62,0,2012-08-09,"Danish Depth Championship 2012","Denmark"
246,"David KENT ",62,62,62,0,2011-09-15,"AIDA Individual Depth World Championship 2011","United Kingdom"
247,"Sofia Uribe GOMEZ ",62,62,0,0,2016-04-22,"Vertical Blue 2016","Colombia"
248,"Ken KIRIYAMA ",62,65,62,0,2016-05-26,"Caribbean Cup 2016","Denmark"
249,"Pepe SALCEDO ",62,62,62,0,2016-05-26,"Caribbean Cup 2016","Mexico"
250,"Ken KIRIYAMA ",62,65,62,0,2016-05-26,"Caribbean Cup 2016","Denmark"
251,"Jonathan  Sunnex ",62,62,62,0,2015-04-27,"Suunto Vertical Blue 2015","New Zealand"
252,"Ken KIRIYAMA ",61,61,61,0,2016-05-26,"Caribbean Cup 2016","Denmark"
253,"Pete BOTMAN ",61,61,61,0,2016-11-03,"Red C cup","Netherlands"
254,"Kurt Chambers ",61,61,61,0,2016-05-26,"Caribbean Cup 2016","United States"
255,"Stig Åvall SEVERINSEN ",61,61,61,0,2003-09-30,"WR Attempt - Carlos COSTE and Stig SEVERINSEN (FIM CWT)","Denmark"
256,"Carlos COSTE ",61,61,61,0,2014-05-25,"Caribbean Cup 2014","Venezuela"
257,"Walter STEYN ",61,61,61,0,2009-04-03,"Vertical Blue 2009","Australia"
258,"Jesper STECHMANN ",61,61,61,0,2013-09-09,"2013 Kalamata Open","Denmark"
259,"William WINRAM ",61,80,41,20,2009-04-03,"Vertical Blue 2009","Canada"
260,"Robert KING ",61,61,61,0,2015-04-27,"Suunto Vertical Blue 2015","United States"
261,"Christian ERNEST ",61,61,61,0,2009-04-21,"(in progress) Bizzy Blue Hole 2009","Sweden"
262,"Frederic SESSA ",61,61,61,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","France"
263,"Yaron HOORY ",61,61,61,0,2014-11-27,"Suunto Vertical Blue","Israel"
264,"Marek APJAR ",61,61,61,0,2009-04-21,"(in progress) Bizzy Blue Hole 2009","Czech Republic"
265,"Jens STOETZNER ",61,61,61,0,2015-05-25,"FreedivingWorld Competition","Germany"
266,"Ken KIRIYAMA ",61,61,61,0,2016-05-26,"Caribbean Cup 2016","Denmark"
267,"Ken KIRIYAMA ",61,61,61,0,2016-05-26,"Caribbean Cup 2016","Denmark"
268,"Jakob Galbavy ",61,61,61,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Austria"
269,"Kurt Chambers ",61,61,61,0,2016-05-26,"Caribbean Cup 2016","United States"
270,"Kurt Chambers ",61,61,61,0,2016-05-26,"Caribbean Cup 2016","United States"
271,"Kurt Chambers ",61,61,56,5,2015-05-23,"Caribbean Cup 2015","United States"
272,"Alejandro  Lemus ",61,61,61,0,2015-05-23,"Caribbean Cup 2015","Mexico"
